DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
13.08,32.98,21.45,15.28,0.00,22.02,13.82,8.97,21.12,24.12,14.05,13.22,28.69,17.23,0.00,14.49,0.00,0.00,26.31,8.11,
10.30,28.03,0.00,16.83,0.00,14.17,8.25,9.82,28.03,17.77,10.55,14.28,0.00,10.83,0.00,13.46,18.83,20.03,14.43,11.93,
13.64,14.54,14.29,23.45,20.44,22.02,27.45,31.02,0.00,12.68,12.28,14.49,17.22,25.41,0.00,15.12,36.31,24.31,25.26,20.60,
19.22,13.59,0.00,12.71,12.71,0.00,11.54,7.83,0.00,12.04,6.25,17.04,22.04,14.54,11.04,13.54,11.04,0.00,0.00,15.71,
8.59,8.00,0.00,0.00,15.06,0.00,0.00,12.31,7.65,0.00,1.92,3.79,0.00,7.53,0.00,0.00,0.00,0.00,0.00,0.00,
12.86,11.61,0.00,17.03,0.00,0.00,0.00,0.00,23.14,0.00,12.65,7.37,0.00,0.00,0.00,24.36,0.00,0.00,0.00,30.36,
4.40,0.00,0.00,7.31,0.00,0.00,8.19,0.00,0.00,0.00,0.00,2.79,0.00,4.40,0.00,0.00,0.00,13.29,8.00,7.65,
16.64,10.25,0.00,0.00,0.00,13.52,0.00,9.13,11.60,21.20,0.00,5.95,12.80,11.84,15.44,9.22,0.00,0.00,23.04,19.52,
0.00,5.56,0.00,0.00,6.12,0.00,4.44,2.62,0.00,0.00,0.00,0.00,3.78,0.00,0.00,0.00,0.00,3.78,0.00,4.44,
5.69,0.00,4.75,0.00,11.08,0.00,0.00,6.92,4.92,0.00,5.54,6.15,0.00,0.00,6.15,0.00,11.08,0.00,6.92,0.00,
0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,2.83,5.14,0.00,3.71,2.57,0.00,0.00,
0.00,6.50,0.00,0.00,8.10,0.00,0.00,4.62,4.10,0.00,5.30,4.10,0.00,0.00,0.00,0.00,0.00,8.10,4.50,0.00,
1.71,0.00,0.00,3.56,0.00,0.00,7.11,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,7.11,0.00,0.00,
0.00,3.20,0.00,1.60,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,
0.00,4.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,4.69,
19.22,13.59,0.00,12.71,12.71,0.00,11.54,15.71,0.00,12.04,6.25,17.04,22.04,14.54,11.04,7.48,11.04,0.00,0.00,15.71,
1.20,0.00,0.00,0.00,3.20,0.00,0.00,2.17,0.00,0.00,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,7.08,0.00,0.00,0.00,6.08,5.08,0.00,0.00,0.00,0.00,10.08,6.18,8.42,4.91,5.42,4.55,0.00,0.00,0.00,
12.07,7.79,6.93,0.00,8.00,0.00,0.00,10.36,0.00,0.00,0.00,6.36,0.00,4.15,0.00,6.92,0.00,6.07,6.36,0.00,
0.00,5.56,0.00,2.38,6.12,0.00,0.00,2.12,0.00,0.00,0.00,3.56,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,
13.86,14.58,26.24,30.66,0.00,26.24,18.38,11.42,0.00,32.34,4.97,7.43,0.00,29.08,0.00,21.89,10.17,0.00,24.97,27.95,
13.73,14.97,27.18,30.05,0.00,25.90,18.45,11.73,0.00,31.64,5.15,7.69,0.00,30.05,0.00,21.89,10.58,0.00,24.72,27.29,
0.00,2.53,0.00,15.26,0.00,0.00,0.00,12.32,8.63,0.00,8.94,9.94,13.68,0.00,8.95,0.00,11.16,0.00,0.00,5.56,
0.00,7.92,15.27,0.00,9.88,0.00,15.19,9.36,18.81,13.58,12.81,12.19,0.00,0.00,9.73,11.81,18.52,17.26,0.00,10.00,
0.00,4.73,0.00,0.00,0.00,8.42,0.00,0.00,0.00,4.91,0.00,2.89,0.00,5.08,0.00,0.00,0.00,3.45,0.00,0.00,
28.38,8.52,16.56,20.74,26.17,16.74,12.32,16.57,19.31,22.85,14.65,15.21,31.14,10.61,0.00,21.14,33.03,0.00,0.00,26.17,
0.00,6.36,7.06,0.00,0.00,6.00,10.81,0.00,0.00,8.56,0.00,10.36,0.00,7.31,0.00,0.00,9.56,7.81,0.00,5.60,
0.00,2.50,0.00,0.00,11.08,0.00,0.00,8.00,0.00,0.00,2.30,3.75,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,
2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,5.20,
9.47,6.94,0.00,0.00,0.00,0.00,0.00,3.88,17.05,0.00,9.39,7.06,0.00,15.26,5.06,0.00,0.00,13.68,15.26,0.00,
19.05,9.90,9.52,9.62,0.00,12.95,0.00,0.00,11.05,4.72,17.24,14.19,0.00,0.00,0.00,9.47,4.83,0.00,0.00,8.05,
1.60,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3.20,
3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,2.00,
4.62,3.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,3.62,0.00,0.00,0.00,5.56,3.12,0.00,0.00,0.00,0.00,
0.00,8.68,14.24,0.00,13.71,0.00,25.90,9.26,17.92,23.82,19.33,20.97,0.00,0.00,12.34,21.34,30.05,28.56,0.00,11.30,
0.00,10.23,0.00,10.05,11.90,0.00,0.00,3.53,0.00,10.59,5.58,8.48,12.77,11.86,0.00,8.25,0.00,0.00,0.00,0.00,
10.18,25.35,0.00,18.53,0.00,15.03,8.70,10.34,30.03,18.53,10.90,15.78,0.00,11.68,0.00,15.10,20.71,20.66,15.78,12.45,
0.00,0.00,0.00,0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,6.12,0.00,0.00,0.00,2.57,3.62,3.62,
0.00,1.33,0.00,0.00,0.00,5.20,4.93,0.00,0.00,0.00,6.53,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00,
0.00,6.36,7.06,0.00,0.00,6.00,0.00,0.00,0.00,8.40,0.00,5.69,8.56,4.64,0.00,0.00,0.00,0.00,0.00,0.00,
3.75,0.00,11.08,0.00,11.08,0.00,0.00,6.92,6.15,7.08,0.00,0.00,0.00,0.00,3.82,4.25,0.00,0.00,0.00,0.00,
10.81,4.67,7.06,0.00,14.06,0.00,0.00,5.79,4.53,7.06,0.00,0.00,0.00,0.00,6.53,0.00,0.00,9.56,10.81,7.81,
0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,2.00,0.00,3.20,0.00,1.60,0.00,0.00,0.00,0.00,2.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2.00,0.00,0.00,3.56,0.00,0.00,7.11,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,7.11,0.00,0.00,
0.00,2.62,4.44,5.56,6.12,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,
0.00,1.60,0.00,0.00,0.00,0.00,2.86,3.71,0.00,0.00,0.00,0.00,0.00,0.00,2.83,0.00,0.00,0.00,0.00,0.00,
20.73,8.50,9.95,20.73,21.27,0.00,29.07,9.08,0.00,18.73,0.00,19.95,32.00,19.95,20.08,15.53,15.64,33.61,39.02,0.00,
0.00,0.00,4.55,0.00,0.00,0.00,2.90,6.18,0.00,7.45,0.00,6.18,0.00,0.00,9.09,2.90,8.10,0.00,0.00,0.00,
9.38,2.62,0.00,0.00,11.08,6.92,0.00,6.92,0.00,0.00,0.00,5.08,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,
0.00,1.25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
9.31,7.65,8.00,0.00,6.69,0.00,0.00,8.59,0.00,0.00,10.47,9.41,0.00,8.00,5.19,11.76,15.06,0.00,7.06,9.41,
1.83,0.00,0.00,3.12,0.00,0.00,6.12,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.00,0.00,0.00,0.00,
3.20,2.00,0.00,0.00,3.20,0.00,1.60,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.00,0.00,3.94,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,4.69,
9.20,17.84,0.00,0.00,0.00,23.04,0.00,10.88,0.00,9.88,6.17,8.96,0.00,0.00,12.04,13.58,12.24,14.35,0.00,13.76,
11.60,5.20,15.44,21.20,23.04,0.00,0.00,7.33,0.00,19.52,0.00,12.24,0.00,18.00,0.00,14.40,16.64,0.00,0.00,0.00,
0.00,5.42,0.00,8.42,0.00,0.00,0.00,7.08,0.00,3.09,8.42,0.00,0.00,5.08,9.09,3.30,0.00,0.00,0.00,0.00,
6.93,8.93,0.00,5.69,12.07,0.00,6.93,0.00,7.79,0.00,4.77,0.00,0.00,6.36,0.00,9.38,6.07,0.00,10.36,0.00,
25.69,8.42,8.56,17.36,18.57,0.00,32.14,23.44,0.00,18.14,19.71,10.26,0.00,19.36,5.77,17.36,21.03,11.59,0.00,0.00,
28.38,8.52,16.56,20.74,26.17,16.74,12.32,16.57,19.31,22.85,14.65,15.21,31.14,10.61,0.00,21.14,33.03,0.00,0.00,26.17,
5.56,15.06,8.00,0.00,6.69,0.00,0.00,10.47,0.00,0.00,9.41,9.41,0.00,11.76,7.81,10.47,7.53,0.00,6.69,13.29,
