,feature name,rank
320,CTDD_normwaalsvolume.2.residue25,159
375,CTDD_secondarystruct.1.residue25,160
1000,DDE_RK,160
423,CTDT_hydrophobicity_FASG890101.Tr1331,162
3526,Z3__10,163
115,CKSAAGP_uncharger.alphaticr.gap3,164
315,CTDD_normwaalsvolume.1.residue25,164
3243,PAAC_Xc1.R,166
324,CTDD_normwaalsvolume.3.residue0,167
1902,NMBroto_CHAM820102.lag1,168
3469,Cougar__14,169
319,CTDD_normwaalsvolume.2.residue0,170
3535,Z5__1,171
3594,OVPC_Hydrophobic,172
3519,Z3__3,173
828,DDE_GT,174
385,CTDD_secondarystruct.3.residue25,174
3566,Z5__32,176
431,CTDT_polarizability.Tr1221,177
3475,Ez__2,177
3560,Z5__26,179
22,CKSAAGP_alphaticr.postivecharger.gap0,180
59,CKSAAGP_postivecharger.uncharger.gap1,181
3555,Z5__21,181
3587,Hopp_woods,183
3394,Isoelectric_point,184
261,CTDD_hydrophobicity_PONP930101.2.residue50,185
409,CTDT_hydrophobicity_ARGP820101.Tr2332,186
3503,MSW__8,187
3457,Cougar__2,188
349,CTDD_polarizability.2.residue0,189
373,CTDD_charge.3.residue100,190
282,CTDD_hydrophobicity_CASG920101.3.residue75,191
1896,NMBroto_BHAR880101.lag1,192
34,CKSAAGP_postivecharger.uncharger.gap0,193
3533,Z3__17,194
155,CKSAAGP_postivecharger.alphaticr.gap5,195
3384,QSO3_SC1,196
246,CTDD_hydrophobicity_ZIMJ680101.2.residue50,197
3442,ABHPRK__53,198
3502,MSW__7,199
3534,Z3__18,199
415,CTDT_hydrophobicity_PONP930101.Tr2332,201
1898,NMBroto_BHAR880101.lag3,202
3466,Cougar__11,203
419,CTDT_hydrophobicity_ENGD860101.Tr1221,203
377,CTDD_secondarystruct.1.residue75,206
3504,MSW__9,206
352,CTDD_polarizability.2.residue75,206
3509,MSW__14,208
321,CTDD_normwaalsvolume.2.residue50,209
203,CTDC_secondarystruct.G1,210
429,CTDT_polarity.Tr1331,211
1007,DDE_RS,212
3616,OVP_Tiny_N2,213
3460,Cougar__5,214
3397,Aliphatic_Index,215
926,DDE_MR,217
880,DDE_KK,217
29,CKSAAGP_aromatic.uncharger.gap0,217
3500,MSW__5,219
240,CTDD_hydrophobicity_ZIMJ680101.1.residue25,219
90,CKSAAGP_uncharger.alphaticr.gap2,221
724,DDE_AP,222
726,DDE_AR,223
421,CTDT_hydrophobicity_ENGD860101.Tr2332,225
196,CTDC_polarity.G3,225
3279,DDR_P,225
402,CTDD_solventaccess.3.residue75,227
228,CTDD_hydrophobicity_ARGP820101.1.residue100,227
3573,Z5__39,229
3488,Ez__15,230
411,CTDT_hydrophobicity_ZIMJ680101.Tr1331,231
3665,OVP_Aliphatic_C3,232
245,CTDD_hydrophobicity_ZIMJ680101.2.residue25,233
351,CTDD_polarizability.2.residue50,234
1903,NMBroto_CHAM820102.lag2,235
379,CTDD_secondarystruct.2.residue0,236
383,CTDD_secondarystruct.2.residue100,237
3511,MSW__16,238
1881,APAAC_Pc1.P,239
3472,Cougar__17,240
3459,Cougar__4,241
426,CTDT_normwaalsvolume.Tr1331,242
1892,APAAC_Pc2.Hydrophilicity.3,244
362,CTDD_charge.1.residue75,244
3360,QSO3_SC_P,244
816,DDE_GF,246
3275,DDR_L,246
381,CTDD_secondarystruct.2.residue50,248
290,CTDD_hydrophobicity_ENGD860101.2.residue25,249
216,CTDD_hydrophobicity_PRAM900101.2.residue50,250
3525,Z3__9,250
3498,MSW__3,252
3364,QSO3_SC_Y,253
265,CTDD_hydrophobicity_PONP930101.3.residue25,254
3579,Z5__45,255
3518,Z3__2,255
277,CTDD_hydrophobicity_CASG920101.2.residue75,258
281,CTDD_hydrophobicity_CASG920101.3.residue50,258
80,CKSAAGP_postivecharger.alphaticr.gap2,258
173,CTDC_hydrophobicity_ARGP820101.G1,260
1904,NMBroto_CHAM820102.lag3,261
3462,Cougar__7,262
3569,Z5__35,263
382,CTDD_secondarystruct.2.residue75,264
1882,APAAC_Pc1.S,265
1912,NMBroto_CHAM810101.lag2,266
380,CTDD_secondarystruct.2.residue25,267
1908,NMBroto_BIGC670101.lag1,267
263,CTDD_hydrophobicity_PONP930101.2.residue100,269
1,AAC_R,270
386,CTDD_secondarystruct.3.residue50,271
369,CTDD_charge.3.residue0,272
410,CTDT_hydrophobicity_ZIMJ680101.Tr1221,273
3575,Z5__41,275
1910,NMBroto_BIGC670101.lag3,275
3266,DDR_R,275
102,CKSAAGP_aromatic.postivecharger.gap3,277
270,CTDD_hydrophobicity_CASG920101.1.residue25,278
3441,ABHPRK__51,279
441,CTDT_solventaccess.Tr1331,279
176,CTDC_hydrophobicity_ZIMJ680101.G1,281
406,CTDT_hydrophobicity_PRAM900101.Tr2332,282
1901,NMBroto_CHAM820101.lag3,283
3265,DDR_A,283
827,DDE_GS,285
3595,OVPC_Aliphatic,286
317,CTDD_normwaalsvolume.1.residue75,287
3572,Z5__38,288
3541,Z5__7,289
1916,NMBroto_DAYM780201.lag3,290
378,CTDD_secondarystruct.1.residue100,291
276,CTDD_hydrophobicity_CASG920101.2.residue50,292
316,CTDD_normwaalsvolume.1.residue50,292
1017,DDE_SG,294
1875,APAAC_Pc1.H,295
3515,Refractivity,296
3571,Z5__37,297
3463,Cougar__8,297
258,CTDD_hydrophobicity_PONP930101.1.residue100,299
